,SampleID,distbc,distbj,distun,distwu,tank,nutrient,temp,corallivory,colony,interaction,stress
39,m.ch.64,0.163648551,0.66225136,0.517140859,0.175686998,B,NO3-,high,Scarred,C4,"NO3-, High T, Scarred",triple
40,m.ch.65,0.30714659,0.563741709,0.466436801,0.169399018,B,NO3-,high,Scarred,C5,"NO3-, High T, Scarred",triple
41,m.ch.67,0.150418068,0.701239917,0.65414391,0.207506438,I,NO3-,high,Scarred,C7,"NO3-, High T, Scarred",triple
42,m.ch.69,0.754316437,0.541033213,0.421321374,0.561155344,I,NO3-,high,Scarred,C9,"NO3-, High T, Scarred",triple
26,m.ch.41,0.089251926,0.59033009,0.451132284,0.043110257,A,NO3-,Control,Scarred,C1,"NO3-, Scarred",double
27,m.ch.44,0.329394174,0.523783313,0.398246862,0.233513506,A,NO3-,Control,Scarred,C4,"NO3-, Scarred",double
28,m.ch.45,0.126036485,0.752110277,0.79010036,0.143743861,A,NO3-,Control,Scarred,C5,"NO3-, Scarred",double
29,m.ch.47,0.115913074,0.649876126,0.494868689,0.081177223,H,NO3-,Control,Scarred,C7,"NO3-, Scarred",double
30,m.ch.48,0.11599432,0.748040242,0.611653455,0.107539187,H,NO3-,Control,Scarred,C8,"NO3-, Scarred",double
31,m.ch.49,0.901819671,0.586495563,0.457838772,0.71670134,H,NO3-,Control,Scarred,C9,"NO3-, Scarred",double
1,m.ch.1,0.633099262,0.622774465,0.462583452,0.451249007,D,Control,Control,Scarred,C1,Scarred,single
25,m.ch.4,0.420355811,0.529942272,0.491092353,0.248542921,D,Control,Control,Scarred,C4,Scarred,single
32,m.ch.5,0.316669862,0.518908503,0.414226563,0.247136742,D,Control,Control,Scarred,C5,Scarred,single
43,m.ch.7,0.363901435,0.655920585,0.406541629,0.386679079,L,Control,Control,Scarred,C7,Scarred,single
49,m.ch.8,0.39992288,0.568698383,0.381277649,0.219805071,L,Control,Control,Scarred,C8,Scarred,single
56,m.ch.9,0.339905852,0.567543175,0.413586414,0.223408612,L,Control,Control,Scarred,C9,Scarred,single
